"Director_id","Director"
0000001,"A., Carlos Durán"
0000002,"Aarniokoski, Douglas"
0000003,"Aaron, Paul"
0000004,"Abbado, Claudio"
0000005,"Abbott, Abdul Malik"
0000006,"Abbott, George"
0000007,"Abdikalikov, Aktan"
0000008,"Abe, Noriyuki"
0000009,"Abe, Yuichi"
0000010,"Abel, Jeanne"
0000011,"Abernathy, Don"
0000012,"Abraham, Adam"
0000013,"Abrahams, Derwin"
0000014,"Abrahams, Jim"
0000015,"Abrams, Anthony"
0000016,"Abramson, Neil"
0000017,"Abugov, Jeff"
0000018,"Abuladze, Tengiz"
0000019,"Achbar, Mark"
0000020,"Ackerman, Robert Allan"
0000021,"Adair, Peter"
0000022,"Adamo, Antonio"
0000023,"Adams, Don"
0000024,"Adams, Mike"
0000025,"Adamson, Al"
0000026,"Adamson, Andrew"
0000027,"Adamson, Reginald"
0000028,"Adasek, Vladimir"
0000029,"Addessi, A. Charles"
0000030,"Addis, Michael"
0000031,"Addiss, Jus"
0000032,"Adelson, Steven A."
0000033,"Adetuyi, Robert"
0000034,"Adler, Carine"
0000035,"Adler, Gilbert"
0000036,"Adler, Lou"
0000037,"Adlon, Felix O."
0000038,"Adlon, Percy"
0000039,"Adreon, Franklin"
0000040,"Agee, Steve"
0000041,"Agrama, Frank"
0000042,"Agraz, Carlos Garcia"
0000043,"Agresti, Alejandro"
0000044,"Aguilar, Rolando"
0000045,"Aguirre, Javier"
0000046,"Aguirre, Salvador"
0000047,"Ahearn, Charlie"
0000048,"Ahearne, Joe"
0000049,"Ahlberg, Mac"
0000050,"Ahlbum, Joey"
0000051,"Ahmed, Babar"
0000052,"Ainouz, Karim"
0000053,"Ainsworth, John"
0000054,"Akahoshi, Steve"
0000055,"Akane, Kazuki"
0000056,"Akasaka, Koreyoshi"
0000057,"Akerlund, Jonas"
0000058,"Akerman, Chantal"
0000059,"Akers, Michael D."
0000060,"Akil, Salim"
0000061,"Akin, Fatih"
0000062,"Akiyama, Katsuhito"
0000063,"Akkad, Moustapha"
0000064,"Alan, Jordan"
0000065,"Alazraki, Benito"
0000066,"Albacete, Alfonso"
0000067,"Albaladejo, Miguel"
0000068,"Alber, Kevin"
0000069,"Albert, Allan"
0000070,"Albert, Didier"
0000071,"Alcala, Felix Enriquez"
0000072,"Alcázar, Rafael"
0000073,"Alcock, Frances"
0000074,"Alcoriza, Luis"
0000075,"Alda, Alan"
0000076,"Alden, David"
0000077,"Aldrich, Robert"
0000078,"Alea, Tomas Gutierrez"
0000079,"Alexander, Claude"
0000080,"Alexander, David"
0000081,"Alexander, Jason"
0000082,"Alexander, Scott"
0000083,"Alexandre, Joseph F."
0000084,"Alexie, Sherman"
0000085,"Algrant, Dan"
0000086,"Allan, Don"
0000087,"Allardice, John"
0000088,"Allcroft, Britt"
0000089,"Allegret, Marc"
0000090,"Allen, Corey"
0000091,"Allen, Debbie"
0000092,"Allen, Irwin"
0000093,"Allen, Kevin"
0000094,"Allen, Lewis"
0000095,"Allen, Stephen"
0000096,"Allen, Woody"
0000097,"Allers, Roger"
0000098,"Allie, Ali"
0000099,"Almeida, Bruno de"
0000100,"Almendros, Nestor"
0000101,"Almereyda, Michael"
0000102,"Almodóvar, Pedro"
0000103,"Alon, Rami"
0000104,"Alonzo, John A."
0000105,"Aloy, Antonio"
0000106,"Alston, Emmett"
0000107,"Altman, Dana"
0000108,"Altman, Robert"
0000109,"Altonaga, Jose"
0000110,"Alves, Joe"
0000111,"Alwyn, Jonathan"
0000112,"Amamiya, Keita"
0000113,"Amari, Raja"
0000114,"Amateau, Rodney"
0000115,"Ambrose, Harry"
0000116,"Ameer, Jorge"
0000117,"Amelio, Gianni"
0000118,"Amemiya, Keita"
0000119,"Amenábar, Alejandro"
0000120,"Amendolare, Nicholas"
0000121,"Amenta, Pino"
0000122,"Améris, Jean-Pierre"
0000123,"Amiel, Jon"
0000124,"Amino, Tetsurou"
0000125,"Amodeo, Rachel"
0000126,"Amurri, Franco"
0000127,"Amyes, Julian"
0000128,"Anania, Jay"
0000129,"Anda, Gilberto de"
0000130,"Anda, Raúl de"
0000131,"Anders, Allison"
0000132,"Anders, Ed"
0000133,"Anders, Jay"
0000134,"Anderson, Andy"
0000135,"Anderson, Bill"
0000136,"Anderson, Brad"
0000137,"Anderson, James"
0000138,"Anderson, Jane"
0000139,"Anderson, Kurt"
0000140,"Anderson, Lena"
0000141,"Anderson, Lindsay"
0000142,"Anderson, Michael"
0000143,"Anderson, Paul"
0000144,"Anderson, Paul Thomas"
0000145,"Anderson, Paul W.S."
0000146,"Anderson, Sarah Pia"
0000147,"Anderson, Steve"
0000148,"Anderson, Wes"
0000149,"Andersson, Roy"
0000150,"Andreacchio, Mario"
0000151,"Andrew, Tim"
0000152,"Andrews, Jay"
0000153,"Angel, Chris"
0000154,"Angel, Helene"
0000155,"Angelis, Fabrizio De"
0000156,"Angelo, Robert"
0000157,"Angelopoulos, Theo"
0000158,"Angelou, Maya"
0000159,"Angress, Percy"
0000160,"Annakin, Ken"
0000161,"Annaud, Jean-Jacques"
0000162,"Annenberg, Eve"
0000163,"Annett, Paul"
0000164,"Anno, Hideaki"
0000165,"Ano, Takashi"
0000166,"Anselmo, Reverge"
0000167,"Anspaugh, David"
0000168,"Anthony, Joseph"
0000169,"Antier, Paul"
0000170,"Antonijevic, Predrag"
0000171,"Antonio, Lou"
0000172,"Antonioni, Michelangelo"
0000173,"Aoki, Naoya"
0000174,"Aoki, Tetsuro"
0000175,"Apatow, Judd"
0000176,"Apodaca, Sebastian"
0000177,"Appleby, Daniel B."
0000178,"Aprahamian, Sallie"
0000179,"Apted, Michael"
0000180,"Apter, Josh"
0000181,"Aragón, Manuel Gutiérrez"
0000182,"Araiza, Raúl"
0000183,"Araki, Gregg"
0000184,"Arancibia, Ernesto"
0000185,"Aranda, Vicente"
0000186,"Aranoa, Fernando León de"
0000187,"Aranovich, Semyon"
0000188,"Arau, Alfonso"
0000189,"Arbós, Gabriel"
0000190,"Arbuckle, Roscoe 'Fatty'"
0000191,"Arcand, Denys"
0000192,"Archainbaud, George"
0000193,"Archer, Mark"
0000194,"Ardolino, Emile"
0000195,"Arends, Harry"
0000196,"Argent, Douglas"
0000197,"Argento, Asia"
0000198,"Argento, Dario"
0000199,"Argue, Randy"
0000200,"Arioli, Don"
0000201,"Aris, Meiert"
0000202,"Aristarain, Adolfo"
0000203,"Arkin, Adam"
0000204,"Arkin, Alan"
0000205,"Arkush, Allan"
0000206,"Armendariz, Montxo"
0000207,"Armero, Álvaro Fernández"
0000208,"Armitage, George"
0000209,"Armstrong, Brad"
0000210,"Armstrong, Eric"
0000211,"Armstrong, Gillian"
0000212,"Armstrong, Michael"
0000213,"Armstrong, Moira"
0000214,"Armstrong, Robin B."
0000215,"Armstrong, Ronald K."
0000216,"Armstrong, Vic"
0000217,"Arnold, Frank"
0000218,"Arnold, Jack"
0000219,"Arnold, Jennifer"
0000220,"Arnold, Newt"
0000221,"Aronofsky, Darren"
0000222,"Aronson, Josh"
0000223,"Arquette, Rosanna"
0000224,"Arrabal, Fernando"
0000225,"Arrick, Larry"
0000226,"Arsenault, Jeffrey"
0000227,"Artenstein, Isaac"
0000228,"Arteta, Miguel"
0000229,"Arth, Chris"
0000230,"Arthur, Karen"
0000231,"Asaka, Morio"
0000232,"Asbury, Kelly"
0000233,"Ash"
0000234,"Ashby, Hal"
0000235,"Ashcroft, Ronnie"
0000236,"Asher, John"
0000237,"Asher, William"
0000238,"Ashford, Troy N."
0000239,"Ashida, Toyou"
0000240,"Ashley, Christopher"
0000241,"Asquith, Anthony"
0000242,"Assayas, Olivier"
0000243,"Ataman, E. Kutlug"
0000244,"Atchison, Doug"
0000245,"Athanassiou, Dino"
0000246,"Athié, Francisco"
0000247,"Atkins, David"
0000248,"Atkins, Mark"
0000249,"Atkinson, Jim"
0000250,"Atlas, Charles"
0000251,"Attal, Yvan"
0000252,"Attenborough, Richard"
0000253,"Attias, Daniel"
0000254,"Attoinese, Deborah"
0000255,"Attwood, David"
0000256,"Au, Chan Hung"
0000257,"Au, Tony"
0000258,"Au, Ulysses"
0000259,"Aubier, Pascal"
0000260,"Aubrey, Jay"
0000261,"Auburtin, Frederic"
0000262,"Audiard, Jacques"
0000263,"Audus, Hilary"
0000264,"Aug, Kun"
0000265,"August, Bille"
0000266,"Augusta"
0000267,"Aured, Carlos"
0000268,"Aurel, Jean"
0000269,"Auster, Paul"
0000270,"Austin, Michael"
0000271,"Austin, Ray"
0000272,"Austin, Steven"
0000273,"Avakian, Aram"
0000274,"Avaness, Edwin"
0000275,"Avary, Roger"
0000276,"Avati, Pupi"
0000277,"Avedis, Howard"
0000278,"Avedis, Howard Hikmet"
0000279,"Avellana, Jim"
0000280,"Avellaneda, María Herminia"
0000281,"Avenet-Bradley, Brian"
0000282,"Averback, Hy"
0000283,"Avery, Charles"
0000284,"Avery, Dwayne"
0000285,"Avila, Carlos"
0000286,"Avila, Michael de"
0000287,"Avildsen, John G."
0000288,"Avildsen, Tom"
0000289,"Avina, Gabriel"
0000290,"Avnet, Jon"
0000291,"Axel, Gabriel"
0000292,"Axelman, Torbjorn"
0000293,"Axelrod, George"
0000294,"Ayaso, Dunia"
0000295,"Aykroyd, Dan"
0000296,"Ayres, Tony"
0000297,"Ayromlooi, Steven"
0000298,"Azpilicueta, John"
0000299,"Azpúrua, Carlos"
0000300,"Azzano, Alejandro"
0000301,"Azzopardi, Mario"
0000302,"Baau, Hok Lai"
0000303,"Babbitt, Jamie"
0000304,"Bacchus, John"
0000305,"Bacon, Lloyd"
0000306,"Bader, Kwyn"
0000307,"Badger, Clarence"
0000308,"Badham, John"
0000309,"Baer, Max"
0000310,"Bafaloukos, Theodorus"
0000311,"Baggot, King"
0000312,"Bagwell, Orlando"
0000313,"Baichwal, Jennifer"
0000314,"Baigelman, Steven"
0000315,"Bail, Charles"
0000316,"Bailey, Derek"
0000317,"Bailey, Fenton"
0000318,"Bailey, John"
0000319,"Bailly, Pascale"
0000320,"Bain, Bill"
0000321,"Baino, Mariano"
0000322,"Baird, Stuart"
0000323,"Baisley, Glen"
0000324,"Bakaitis, Mark"
0000325,"Baker, Graham"
0000326,"Baker, Roy Ward"
0000327,"Bakshi, Ralph"
0000328,"Balaban, Bob"
0000329,"Balaban, Burt"
0000330,"Balabanov, Aleksei"
0000331,"Balasko, Josiane"
0000332,"Balcázar, Jaime Jesús"
0000333,"Balch, Anthony"
0000334,"Baldanello, Gianfranco"
0000335,"Balde, Escalpo Don"
0000336,"Balderson, Steve"
0000337,"Baldi, Ferdinando"
0000338,"Baldwin, Daniel"
0000339,"Baldwin, Peter"
0000340,"Baledon, Rafael"
0000341,"Balfe, Dave"
0000342,"Ball, Sherwood"
0000343,"Ballard, Carroll"
0000344,"Balser, Robert"
0000345,"Balsmeyer, Randall"
0000346,"Baluzy, Mike"
0000347,"Bancroft, Tom"
0000348,"Bancroft, Tony"
0000349,"Band, Albert"
0000350,"Band, Charles"
0000351,"Banderas, Antonio"
0000352,"Bani-Etemad, Rakhshan"
0000353,"Bannerman, Bill"
0000354,"Bannert, Walter"
0000355,"Barba, Norberto"
0000356,"Barbato, Randy"
0000357,"Barbera, Joseph"
0000358,"Barber-Fleming, Peter"
0000359,"Barbet, Ken"
0000360,"Barbieri, Tony"
0000361,"Barbini, Edward"
0000362,"Barboni, Enzo"
0000363,"Barclay, Gerald"
0000364,"Barclay, Paris"
0000365,"Barden, James H."
0000366,"Barker, Clive"
0000367,"Barker, Greg"
0000368,"Barker, Mike"
0000369,"Barker, Nicholas"
0000370,"Bar-Lev, Amir"
0000371,"Barmak, Siddiq"
0000372,"Barnes, Dean"
0000373,"Barnes, Misti"
0000374,"Barnet, Boris"
0000375,"Barnette, Neema"
0000376,"Barney, Matthew"
0000377,"Barr, Douglas"
0000378,"Barredo, Ana"
0000379,"Barreras, María Cecilia de las"
0000380,"Barreto, Bruno"
0000381,"Barrett, Shirley"
0000382,"Barrios, Luis"
0000383,"Barron, Steve"
0000384,"Barron, Zelda"
0000385,"Barroso, Mariano"
0000386,"Barry, George"
0000387,"Barry, Ian"
0000388,"Barry, Michael"
0000389,"Barry, Tony"
0000390,"Bartel, Paul"
0000391,"Bartholomew, Sydney J."
0000392,"Bartkowiak, Andrzej"
0000393,"Bartlett, Hall"
